,Unnamed: 0,Unnamed: 0.1,id,fname,lname,race,HL+A,HL+B,HL+I,HL+M,HL+O,HL+W,NL+A,NL+B,NL+I,NL+M,NL+O,NL+W,year,predRace
69,69,69,69,Gokce,Laleci,NL+A,3.6094315000000004e-11,2.1740426999999998e-11,3.007283e-09,6.7632455e-11,1.7466378e-05,1.3962385e-06,0.95385534,0.0010464683,0.012709371,1.6877748e-07,0.031826485,0.0005433424,2000,api
70,70,70,70,Yildiray,Kabak,NL+A,3.0850444e-12,5.180721e-14,1.1318764e-12,1.6092118e-08,0.004071687,0.008628447,0.5061612,0.007581571600000001,2.363121e-07,1.124537e-05,0.42710206,0.046443532999999995,2000,api
71,71,71,71,Ibrahim,Cingil,NL+O,5.5477897e-11,2.901627e-10,2.4634936e-11,5.4564225e-05,0.05739421,0.022412479,0.05056423,0.00976726,1.1941480000000001e-05,6.763894999999999e-07,0.8498776,0.009916905,2000,white
72,72,72,72,Asuman,Dogac,NL+O,3.408068e-11,2.852936e-14,1.8982279999999997e-12,2.2886569e-08,9.5605765e-06,3.037513e-07,0.33042849999999996,0.0009435977,7.515656299999999e-06,5.352507e-08,0.66757625,0.0010342537,2000,white
73,73,73,73,Ibrahim,Cingil,NL+O,5.5477897e-11,2.901627e-10,2.4634936e-11,5.4564225e-05,0.05739421,0.022412479,0.05056423,0.00976726,1.1941480000000001e-05,6.763894999999999e-07,0.8498776,0.009916905,2000,white
74,74,74,74,Gokce,Laleci,NL+A,3.6094315000000004e-11,2.1740426999999998e-11,3.007283e-09,6.7632455e-11,1.7466378e-05,1.3962385e-06,0.95385534,0.0010464683,0.012709371,1.6877748e-07,0.031826485,0.0005433424,2000,api
75,75,75,75,Yildiray,Kabak,NL+A,3.0850444e-12,5.180721e-14,1.1318764e-12,1.6092118e-08,0.004071687,0.008628447,0.5061612,0.007581571600000001,2.363121e-07,1.124537e-05,0.42710206,0.046443532999999995,2000,api
76,76,76,76,Qingguo,Zheng,NL+A,1.843666e-12,7.780042999999999e-16,1.505182e-11,7.6475035e-11,2.0694845e-06,5.7837124000000003e-08,0.7710816,0.000167619,4.578732999999999e-06,3.6219079e-09,0.22856188,0.00018209017,2000,api
77,77,77,77,Millist,Vincent,NL+W,1.4447451999999999e-08,1.2566088000000002e-07,3.1239307999999996e-10,3.7031026e-05,0.16204005,0.13857302,0.11667249999999998,0.12895969,0.031469498,0.008019390500000001,0.17866996,0.23555872,2000,white
78,78,78,78,Jixue,Liu,NL+A,0.020732353999999998,4.4501135e-08,1.0887765e-08,2.8200383999999998e-05,0.004697022,0.0008959672,0.8602228999999999,0.0049940143,0.0042253206,0.002220076,0.08702797,0.014956124,2000,api
79,79,79,79,Nancy,Bercich,NL+O,3.010538e-08,1.6850835e-09,2.126732e-08,0.00018057185000000002,0.014474073,0.0055253533999999995,0.025587607000000002,0.1446191,0.00012630815,0.05021352,0.39576012,0.3635133,2000,white
80,80,80,80,A.,Amorim,NL+A,5.031206e-09,4.327338e-09,1.3187048000000001e-08,0.027488982000000002,0.0010116075,0.00011552452,0.8453664000000001,0.003598386,1.981074e-06,8.069549e-07,0.11884185,0.0035744846999999995,2000,api
81,81,81,81,J.,Lima,NL+A,1.9550106000000001e-10,2.6515393e-10,4.571142e-13,1.138655e-09,0.0027829243,5.6034227e-05,0.88557756,0.0033064229999999997,1.435955e-07,4.902528400000001e-06,0.10770388,0.0005681257,2000,api
82,82,82,82,C.,Oliveira,NL+O,4.5195066e-11,1.1861825999999999e-07,6.25631e-11,9.0171494e-07,0.3710532,0.22590029999999997,0.0049139685,0.0044885897,0.00013133786,1.9616723e-06,0.3804287,0.013081023,2000,white
83,83,83,83,L.,Pedro,HL+W,3.6780495e-11,4.719306e-05,2.1282792e-06,0.0006297211,0.32294053,0.49605340000000003,0.14516595,0.0008639777000000001,1.0295539000000002e-05,2.592039e-08,0.028589088,0.0056977384,2000,hispanic
84,84,84,84,N.,Barros,HL+O,3.111046e-07,1.3479412e-08,7.366699e-11,1.7896797e-05,0.45922586,0.07756747,0.0024994859,0.04819975,8.608366e-05,0.00012722848999999998,0.3153457,0.09693015,2000,hispanic
85,85,85,85,Julius,Hrivnac,NL+O,7.5218407e-13,0.00671639,2.2923563e-13,1.9271260000000002e-11,0.009377418,0.0032571459000000002,0.030555336000000002,0.23720501,0.00017112034,0.0009521180000000001,0.6720094,0.03975605,2000,white
86,86,86,86,I.,Sourikova,NL+A,1.6288043999999998e-14,7.2609043e-09,1.7251743999999999e-10,0.00011655540000000001,0.0049049268,9.869153e-05,0.60286486,0.027582599,1.3161504999999997e-07,3.6802725e-05,0.35752675,0.0068686419999999995,2000,api
87,87,87,87,D.,Morrison,NL+B,1.4771563000000001e-08,3.769767e-06,4.0638573e-09,0.035772957,0.003523143,0.0036622037,0.12729703,0.32750577,0.0026496965,0.11754402,0.075099416,0.30694205,2000,black
