,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
66,66,66,Bart,Kuijpers,"GreaterEuropean,British",0.03784241,0.011807931,0.026405936,0.0130952,0.0037208127,0.4892386,0.08204432,0.14252709,0.020938637,0.1353208,0.023455886,0.0060884836,0.0075139403,2000
67,67,67,Peter,Revesz,"GreaterEuropean,British",0.006544632,0.014149316,0.0050925915,0.0070466315,0.0053872624,0.41912377,0.02929819,0.09806004,0.039311934,0.060018573,0.16101016,0.02683967,0.12811726,2000
68,68,68,Asuman,Dogac,"Asian,GreaterEastAsian,Japanese",0.021505361,0.81108236,0.015881205,0.012022356,0.0449596,0.018380696,0.0018602164,0.00686538,0.0320339,0.0014105611,0.020964602,0.008296398,0.0047373786,2000
69,69,69,Gokce,Laleci,"GreaterEuropean,WestEuropean,Italian",0.0392471,0.007657827,0.04666624,0.086957276,0.14047876,0.20047644,0.011987619,0.087912686,0.033363078,0.0071953065,0.04331496,0.2744062,0.02033649,2000
70,70,70,Yildiray,Kabak,"GreaterEuropean,Jewish",0.0013740055,0.0008706869,0.005603951,0.18981591,0.11257141,0.029380312,0.010943245,0.59725505,0.027786803,0.0036102533,0.015238992,0.004310768,0.0012385807,2000
71,71,71,Ibrahim,Cingil,"GreaterAfrican,Muslim",0.000720594,0.0001458636,0.02002571,0.1365582,0.48092183,0.022551931,0.005646948,0.04509023,0.2747497,0.001655593,0.0071156174,0.0025567191,0.0022611455,2000
72,72,72,Asuman,Dogac,"Asian,GreaterEastAsian,Japanese",0.021505361,0.81108236,0.015881205,0.012022356,0.0449596,0.018380696,0.0018602164,0.00686538,0.0320339,0.0014105611,0.020964602,0.008296398,0.0047373786,2000
73,73,73,Ibrahim,Cingil,"GreaterAfrican,Muslim",0.000720594,0.0001458636,0.02002571,0.1365582,0.48092183,0.022551931,0.005646948,0.04509023,0.2747497,0.001655593,0.0071156174,0.0025567191,0.0022611455,2000
74,74,74,Gokce,Laleci,"GreaterEuropean,WestEuropean,Italian",0.0392471,0.007657827,0.04666624,0.086957276,0.14047876,0.20047644,0.011987619,0.087912686,0.033363078,0.0071953065,0.04331496,0.2744062,0.02033649,2000
75,75,75,Yildiray,Kabak,"GreaterEuropean,Jewish",0.0013740055,0.0008706869,0.005603951,0.18981591,0.11257141,0.029380312,0.010943245,0.59725505,0.027786803,0.0036102533,0.015238992,0.004310768,0.0012385807,2000
